time_period,time_identifier,geographic_level,country_code,country_name,quarter,gender,age,population_category,number,percent
2007,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,964893.86208355671,13.427414366235741
2008,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,965483.2542019129,13.399789682828386
2008,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,998257.53275608981,13.81804437847701
2008,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,1033817.7925594002,14.290344059330588
2008,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,1025182.6513221567,14.160311909520493
2009,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,1096605.523454458,15.135325963460339
2009,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,1127756.1306498982,15.553113862653936
2009,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,1121599.3199039106,15.443627556976786
2009,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,1082882.9267423723,14.880719809208992
2010,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,1127920.372567398,15.468273641660071
2010,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,1073826.5508218738,14.696983166661335
2010,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,1119534.0587843023,15.290982975887179
2010,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,1163879.7626515497,15.862907459560734
2011,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,1124517.8835909052,15.294552255409455
2011,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,1164300.1728790677,15.80257215399447
2011,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,1245651.7378638305,16.902032499834196
2011,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,1212241.2125128298,16.458923774947955
2012,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,1193346.0756606329,16.212337633731785
2012,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,1191845.4661902711,16.202181952755694
2012,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,1103730.5622324441,15.021447019630422
2012,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,1083851.2107832427,14.771644019153477
2013,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,1100310.119311739,15.017134761839262
2013,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,1089153.8524967947,14.886032730114504
2013,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,1092152.3035891859,14.943347075407623
2013,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,1037979.9293089196,14.215107902135712
2014,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,978703.4961512282,13.415610003033866
2014,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,963166.57783640153,13.214877046564597
2014,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,967314.43445010227,13.283934183779481
2014,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,971150.28314593202,13.348458555476764
2015,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,934109.29760127026,12.851069645215372
2015,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,919090.058384264,12.655730906098226
2015,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,855653.40665600146,11.804828622080626
2015,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,858075.34308969835,11.867336256061053
2016,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,865711.44562672556,12.002207778480265
2016,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,844281.89307901054,11.734087247985657
2016,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,860250.25875923363,11.994545725233499
2016,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,822394.98183646775,11.508406433334557
2017,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,794990.10474043584,11.16537024674702
2017,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,791328.66775830393,11.154443308828238
2017,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,795720.52441677265,11.254637265010842
2017,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,793289.70296829625,11.256850129382325
2018,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,798030.77456967533,11.361659048189876
2018,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,778182.7954806817,11.11575533142641
2018,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,757625.22320553171,10.856273275592736
2018,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,788498.59401570156,11.333762642208812
2019,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,764183.87005150225,11.018299674829333
2019,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,792346.06516613369,11.46005723427221
2019,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,800295.49526338722,11.599093970776252
2019,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,762514.08535260241,11.068771954450666
2020,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,773870.51222855179,11.258997243681856
2020,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,790989.79659319599,11.543179514126509
2020,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,772881.66770564672,11.28337397535361
2020,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,797760.92923844815,11.675574217267174
2021,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,723528.80420304486,10.61489879574542
2021,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,644356.84332939889,9.4686773327606133
2021,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,708463.18049920024,10.395475297455906
2021,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,693649.39280726726,10.180776534324536
2022,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,707249.3289750393,10.375249610992528
2022,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,711429.21763615566,10.426132225539833
2022,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,NEET,723689.07399140648,10.58022487069338
2022,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,NEET,788083.05413171602,11.525495264467118
2023,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,NEET,770362.25496135699,11.260777013578013
2023,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,NEET,794106.63755195681,11.593136114221684
2001,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,373303.27283479716,5.79832645013657
2002,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,374351.16544383392,5.78285431043109
2002,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,367778.07197527878,5.65033280993115
2002,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,360805.77513362275,5.51324418259094
2002,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,354230.61005064182,5.38351346560923
2003,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,383602.41789000679,5.79867767839108
2003,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,361129.02925406455,5.429882178383
2003,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,354743.44738943898,5.30482637292024
2003,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,338901.26855011238,5.04038492616901
2004,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,338220.12441394845,5.00292546356696
2004,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,356893.76324772526,5.25069317640306
2004,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,381321.81845479459,5.58377687805504
2004,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,390358.12237453286,5.69136214526913
2005,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,379101.6764843876,5.50319181513636
2005,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,389917.80621222779,5.63581337611617
2005,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,399398.49461738835,5.75144884233135
2005,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,430760.02971880627,6.18164337503708
2006,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,403539.10279580462,5.77109854759464
2006,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,448522.27624014777,6.39251356599522
2006,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,445932.45559420262,6.32894936008608
2006,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,414958.3175127061,5.86229564156989
2007,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,442815.98363869946,6.22738885698631
2007,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,438791.72815247474,6.14277730098069
2007,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,413265.49082126003,5.76628173423803
2007,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,413765.16191949265,5.75793514470977
2008,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,414831.21980720817,5.75737701829187
2008,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,433198.33719502622,5.99640238277661
2008,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,470426.99612593936,6.50265808716074
2008,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,505795.81957451394,6.98629318245846
2009,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,561407.89666084945,7.74853977358751
2009,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,573373.37636885978,7.90750869457932
2009,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,565054.57910103805,7.78040099894883
2009,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,542482.186117362,7.45466126923262
2010,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,567067.64855902875,7.77675248588494
2010,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,539685.03088396683,7.38642735936269
2010,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,565062.61255388241,7.71782039239993
2010,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,590502.11438571801,8.048151274523
2011,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,578476.99623601406,7.86785766290464
2011,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,613917.88226953603,8.3324574342389
2011,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,685780.32944105566,9.30523441153567
2011,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,667554.74654149287,9.06356967204235
2012,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,645845.02989745594,8.77420045812664
2012,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,642064.7234416171,8.7283542789314
2012,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,571310.68727083993,7.77536974533847
2012,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,571199.76636532391,7.78479511636548
2013,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,586344.44373260729,8.00248345793279
2013,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,586386.52760335931,8.01444995341233
2013,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,603459.95282516081,8.25682598621109
2013,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,570679.89653819578,7.8154462122126
2014,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,507119.09716585214,6.95135151700374
2014,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,455018.84313867328,6.24296793962152
2014,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,458488.51082699327,6.29633031921743
2014,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,458575.41626264632,6.30311811135271
2015,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,429087.22910328483,5.90319556741269
2015,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,420989.65591655276,5.79696380232546
2015,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,379494.20970619668,5.23560599865013
2015,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,363791.89864323288,5.03130735919401
2016,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,381668.85731338238,5.2914501144594
2016,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,383279.49491824373,5.3269353169862
2016,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,372870.45139845886,5.19896580483216
2016,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,338659.81711144524,4.73912767470201
2017,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,327464.17925561225,4.59912492260494
2017,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,324044.42270244332,4.56767875327419
2017,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,304525.7334811312,4.30719902657227
2017,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,324994.11375863402,4.6116948421535
2018,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,315031.53296544985,4.48514140186147
2018,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,290271.9510441419,4.14631627185925
2018,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,283772.69572816684,4.06627688547911
2018,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,314842.46104232897,4.52549915779758
2019,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,299651.66881126614,4.32049407795368
2019,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,329883.51476053515,4.77125352923403
2019,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,316752.5839690232,4.59085801268158
2019,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,301742.63336687209,4.38014255976514
2020,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,319511.31396984588,4.64855159418353
2020,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,304136.03715969005,4.43835924150978
2020,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,348316.34023649339,5.08510383003635
2020,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,354087.94480123708,5.18222932139956
2021,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,317945.66996417829,4.66458431179211
2021,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,279471.95229669311,4.10677680736803
2021,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,270262.49926281045,3.96563605879362
2021,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,256495.57510895148,3.7646167636059
2022,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,246973.92854353026,3.62307329405327
2022,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,238658.23334559973,3.49758238190259
2022,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Unemployed,233616.98157853383,3.41544495770966
2022,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Unemployed,298622.94207712158,4.36727739129366
2023,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Unemployed,295456.63101260527,4.31883989329519
2023,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Unemployed,327423.58337711811,4.78004589005691
2001,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,459453.60104296013,7.13645489177603
2002,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,484724.02404139796,7.48785811438288
2002,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,505117.29360828351,7.76033438211714
2002,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,512040.2117875542,7.82416167769177
2002,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,481770.92835633521,7.32184121461045
2003,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,509725.33318722819,7.70519885646486
2003,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,529939.68288722518,7.96809396816136
2003,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,522490.11966134637,7.8133067341113
2003,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,508126.44845096231,7.55722426864069
2004,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,497400.24018114194,7.35750520906594
2004,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,522314.39901078917,7.68439500277677
2004,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,536569.96231430618,7.85710862591167
2004,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,531785.85882683983,7.75335706582947
2005,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,546141.09996918496,7.92800300735089
2005,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,556987.75114260637,8.05061725371372
2005,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,535835.68224535813,7.71618209848836
2005,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,572549.93006958417,8.21640643957377
2006,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,580525.68791556451,8.30222134895852
2006,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,573016.44705461478,8.16685280838483
2006,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,559996.74434336834,7.94782033086072
2006,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,563980.55055659229,7.96759718729306
2007,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,557534.88132041111,7.84069824848229
2007,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,565399.4183019523,7.91519641301454
2007,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,569792.96464689751,7.95030516051914
2007,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,551128.70016406407,7.66947922152597
2008,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,550652.03439470474,7.64241266453651
2008,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,565059.19556106359,7.8216419957004
2008,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,563390.7964334609,7.78768597216985
2008,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,519386.83174764266,7.17401872706204
2009,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,535197.62679360854,7.38678618987283
2009,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,554382.7542810383,7.64560516807461
2009,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,556544.74080287269,7.66322655802796
2009,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,540400.74062501034,7.42605853997637
2010,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,560852.72400836926,7.69152115577513
2010,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,534141.51993790688,7.31055580729864
2010,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,554471.4462304198,7.57316258348725
2010,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,573377.64826583175,7.81475618503774
2011,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,546040.88735489117,7.42669459250481
2011,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,550382.29060953157,7.47011471975557
2011,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,559871.40842277487,7.59679808829853
2011,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,544686.46597133705,7.3953541029056
2012,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,547501.04576317687,7.43813717560514
2012,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,549780.7427486541,7.47382767382429
2012,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,532419.87496160413,7.24607727429195
2012,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,512651.44441791868,6.98684890278799
2013,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,513965.67557913176,7.01465130390648
2013,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,502767.32489343529,6.87158277670217
2013,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,488692.35076402518,6.68652108919654
2013,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,467300.0327707238,6.39966168992311
2014,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,471584.398985376,6.46425848603012
2014,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,508147.73469772818,6.97190910694307
2014,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,508825.92362310895,6.98760386456205
2014,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,512574.86688328563,7.04534044412405
2015,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,505022.06849798549,6.94787407780268
2015,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,498100.40246771125,6.85876710377276
2015,Calendar year,National,K02000001,United Kingdom,Q3,Total,Aged 16-24,Economically inactive,476159.19694980473,6.5692226234305
2015,Calendar year,National,K02000001,United Kingdom,Q4,Total,Aged 16-24,Economically inactive,494283.44444646552,6.83602889686704
2016,Calendar year,National,K02000001,United Kingdom,Q1,Total,Aged 16-24,Economically inactive,484042.58831334318,6.71075766402086
2016,Calendar year,National,K02000001,United Kingdom,Q2,Total,Aged 16-24,Economically inactive,461002.39816076687,6.40715193099946
